OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Summer_mean	Spring_mean	Winter_mean	Fall_mean	taxonomy
4452050	19.8728777592	0.000180356416109	0.0269072427476	1.0	0.519823788546	0.418128654971	0.118942731278	0.666666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Klebsiella; s__
183855	19.8727641643	0.000180366190065	0.0269072427476	1.0	0.0969162995595	0.283625730994	0.136563876652	0.0731707317073	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
324015	19.8683146406	0.000180749452008	0.0269072427476	1.0	0.185022026432	0.356725146199	0.577092511013	0.317073170732	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1121651	19.8047420896	0.000186314661628	0.0273658974999	1.0	0.0	0.0	0.0132158590308	0.219512195122	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__; s__
942245	19.7116871636	0.000194769719764	0.0282313583279	1.0	3.19383259912	0.614035087719	0.118942731278	1.19512195122	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
651104	19.5314744539	0.000212244909477	0.0303648041922	1.0	0.0	0.00292397660819	0.0	0.0325203252033	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
1113485	19.4691190514	0.000218647929573	0.0306658706085	1.0	0.0969162995595	0.0672514619883	0.0	0.0569105691057	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__; s__
463007	19.4569779504	0.000219916828075	0.0306658706085	1.0	0.0	0.0	0.0	0.0406504065041	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
187267	19.2686260499	0.000240567235276	0.0327537804227	1.0	1.31718061674	0.698830409357	1.18061674009	0.918699186992	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
4448331	19.2662768181	0.000240836620755	0.0327537804227	1.0	41.7092511013	203.432748538	45.5022026432	32.6260162602	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
3232397	19.1830169312	0.000250580324115	0.0336633274445	1.0	22.577092511	5.24561403509	10.7004405286	40.8617886179	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4426982	19.0892578724	0.000262022971336	0.0347764464125	1.0	0.0308370044053	0.00292397660819	0.0132158590308	0.105691056911	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Lautropia; s__
4484075	18.7959406549	0.000301285766887	0.039511476286	1.0	0.528634361233	0.74269005848	1.05286343612	0.626016260163	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
338754	18.7641516678	0.000305877788751	0.0396417614221	1.0	0.471365638767	0.815789473684	3.93832599119	0.0975609756098	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4389289	18.709805492	0.000313890094804	0.0398651639369	1.0	0.251101321586	0.27485380117	0.0704845814978	0.260162601626	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4435065	18.7034591087	0.000314839257671	0.0398651639369	1.0	0.00440528634361	0.00584795321637	0.0440528634361	0.0650406504065	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
61102	18.630204735	0.000326004020198	0.040809775983	1.0	5.71806167401	0.0994152046784	0.0308370044053	0.528455284553	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__citronellolis
311950	18.5342290336	0.000341229818082	0.0422358165842	1.0	1.13215859031	1.30994152047	1.35682819383	0.626016260163	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__plebeius
1135084	18.5106231725	0.000345081827726	0.0422380157137	1.0	12.1321585903	8.7134502924	8.69603524229	17.3658536585	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4477696	18.3971028666	0.00036421881787	0.0432746125436	1.0	5.57709251101	6.12573099415	7.72246696035	17.8780487805	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
582181	18.3909172935	0.000365291373512	0.0432746125436	1.0	0.0	0.0	0.0264317180617	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Anaeroplasma; s__
188187	18.3906615776	0.000365335781278	0.0432746125436	1.0	0.0	0.0	1.39207048458	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
25005	18.3501568175	0.000372438072302	0.043646572388	1.0	0.969162995595	0.570175438596	0.762114537445	0.552845528455	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4349261	18.2998286105	0.000381454447906	0.0441932452832	1.0	2.22907488987	2.22514619883	3.82378854626	2.61788617886	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4383922	18.279670922	0.000385126320551	0.0441932452832	1.0	0.198237885463	0.295321637427	0.537444933921	0.455284552846	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
323135	18.1352543852	0.000412481220155	0.0468442589818	1.0	3.04405286344	4.87134502924	6.55947136564	2.61788617886	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
4376649	17.6981126161	0.000507622239674	0.0570608835944	1.0	0.057268722467	0.134502923977	0.224669603524	0.121951219512	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1141678	17.6516418376	0.000518939101834	0.0577437691495	1.0	0.612334801762	11.4356725146	8.06167400881	16.7479674797	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
813479	17.4277648854	0.000577073410526	0.0635704069036	1.0	1.42731277533	1.11988304094	0.462555066079	0.731707317073	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
4407554	17.3650265303	0.000594495859552	0.0645309851325	1.0	0.0352422907489	0.00584795321637	0.00440528634361	0.0569105691057	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__; s__
301109	17.3403691579	0.00060148545962	0.0645309851325	1.0	0.277533039648	1.95614035088	4.14977973568	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
1017181	17.3337800622	0.000603367054162	0.0645309851325	1.0	0.229074889868	0.236842105263	0.171806167401	0.252032520325	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
4392183	17.221344081	0.000636391235038	0.0664475883405	1.0	1.88105726872	2.63157894737	1.23348017621	1.38211382114	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
374557	17.2147875536	0.000638371488654	0.0664475883405	1.0	0.202643171806	0.309941520468	0.480176211454	0.252032520325	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
