OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean	taxonomy
4442130	3.11279516458	0.077679544307	1.0	1.0	4.41463414634	11.4225663717	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
290186	3.07899187168	0.0793096713717	1.0	1.0	2.79268292683	0.0243362831858	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
843808	3.07121814895	0.0796897374467	1.0	1.0	1.64146341463	6.66371681416	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
780793	3.0513175784	0.080671672113	1.0	1.0	0.0634146341463	2.94690265487	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__; s__
4439469	3.02700252842	0.0818891708781	1.0	1.0	6.81219512195	14.9159292035	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1044419	2.99970394833	0.0832797332798	1.0	1.0	4.4512195122	0.608407079646	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
3232397	2.91157979168	0.0879456891608	1.0	1.0	5.54390243902	12.860619469	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
2686372	2.90476379744	0.0883181908095	1.0	1.0	1.27804878049	5.78318584071	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
157338	2.81613438131	0.0933209042685	1.0	1.0	11.3414634146	20.8672566372	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4447188	2.81247976231	0.0935336924692	1.0	1.0	17.8853658537	29.4225663717	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
4449525	2.57686702249	0.108436094137	1.0	1.0	2.28780487805	0.00221238938053	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
