OTU	Test-Statistic	P	FDR_P	Bonferroni_P	8 or more hours_mean	7-8 hours_mean	6-7 hours_mean	5-6 hours_mean	Less than 5 hours_mean	taxonomy
138348	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Thiomonas; s__
310978	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
340809	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
171079	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
350668	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
3297202	0.658524380355	0.956343475847	1.0	1.0	0.0	0.014598540146	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Sulfuritalea; s__
514063	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00973236009732	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Acidaminobacteraceae]; g__; s__
4418266	0.658524380355	0.956343475847	1.0	1.0	0.0	0.133819951338	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Perlucidibaca; s__
2429421	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__
259097	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0267639902676	0.00337837837838	0.0	0.0	k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Dethiosulfovibrionaceae; g__Pyramidobacter; s__piscolens
4365126	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1107459	0.658524380355	0.956343475847	1.0	1.0	0.0	0.209245742092	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
336539	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
820313	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00973236009732	0.0101351351351	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
108482	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0121654501217	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4385507	0.658524380355	0.956343475847	1.0	1.0	0.0	1.11435523114	0.00337837837838	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
997909	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4446320	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
73875	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
4375664	0.658524380355	0.956343475847	1.0	1.0	0.0	0.014598540146	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera; s__
214214	0.658524380355	0.956343475847	1.0	1.0	0.0	0.0121654501217	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
829032	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
355139	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12; g__; s__
822114	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
2808640	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
806987	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4409662	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4379848	0.658524380355	0.956343475847	1.0	1.0	0.0	0.114355231144	0.00675675675676	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans
242046	0.658524380355	0.956343475847	1.0	1.0	0.0	0.014598540146	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
266478	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
337403	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
146226	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4451781	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00729927007299	0.00337837837838	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__
262677	0.658524380355	0.956343475847	1.0	1.0	0.0	0.00486618004866	0.00337837837838	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
